Max,Min,Mean,Std,RMS,Skewness,Kurtosis,Crest Factor,Form Factor,Fault
0.371,-0.369,-0.002705712890625,0.0758472464352899,0.075893641205246,0.0072411221511905,0.3851698490402424,4.888420085111886,-28.04940667142078,0
0.371,-0.371,-0.0023691894531249,0.0771869361636982,0.0772214041809126,-0.0178884393943566,0.3498059404932365,4.8043674410637385,-32.5940182111888,0
0.359,-0.374,-0.002247265625,0.07666323828565,0.0766942979108046,-0.01148614482609,0.3971185664378138,4.68092165622947,-34.127829419721856,0
0.354,-0.515,-0.00190322265625,0.0766727041333759,0.0766944507088436,0.0193925830973231,0.4539194590334494,4.615718565400457,-40.29715097021699,0
0.352,-0.383,-0.00254072265625,0.0764031330767769,0.0764435019107249,-0.002604736735485,0.4618041159763959,4.604707937256534,-30.08730674427578,0
0.376,-0.339,-0.0021406249999999,0.0780355458326466,0.0780629960202415,-0.0074611245411948,0.3308209205522798,4.816622717151466,-36.46738500215665,0
0.388,-0.342,-0.002179296875,0.0773093794723251,0.0773382030839222,-0.0120229802903869,0.4266762051370043,5.016925458934809,-35.48768594637765,0
0.369,-0.378,-0.00211962890625,0.0769223463056036,0.0769496671177416,0.0229614046689767,0.3197850354776745,4.795342381863569,-36.3033674860942,0
0.41,-0.393,-0.002137548828125,0.0788890980785173,0.078916126547727,0.0208468637974836,0.5182775260781778,5.1953893067982655,-36.91898192423991,0
0.381,-0.347,-0.0016583007812499,0.077462261852294,0.0774781193910577,0.0178419473498974,0.4061263142843723,4.917517397098485,-46.72139111739188,0
0.378,-0.371,-0.001582275390625,0.076869956756645,0.0768843633144323,0.0021450691681548,0.4085101783298768,4.916474348029672,-48.591012519042536,0
0.32,-0.322,-0.002445703125,0.0773957608348076,0.0774325046310494,-0.0260116217200174,0.2117837918121279,4.132631399755652,-31.66063118599053,0
0.359,-0.442,-0.0022951171875,0.0776203498602228,0.0776523798079862,-0.0314589066715591,0.466021299585762,4.623168032811252,-33.83373199020421,0
0.354,-0.359,-0.00198408203125,0.0784282594789269,0.0784514380046663,-0.0124328052458738,0.389984147681456,4.512345586054701,-39.54042059200586,0
0.459,-0.457,-0.001492529296875,0.0774529228904233,0.0774654115733878,-0.0002756500096533,0.3978280416973798,5.9252250866202445,-51.90210452523909,0
0.408,-0.388,-0.0023976074218749,0.0769882481625134,0.077023694165436,-0.0003301123986988,0.3216380107284156,5.297071302808114,-32.125231788447344,0
0.315,-0.364,-0.002389208984375,0.0759919388810445,0.0760276339435002,-0.0139667524550772,0.3784225931641196,4.143230344825559,-31.82125734530024,0
0.369,-0.359,-0.002610693359375,0.0773599558845492,0.0774021077186976,-0.0049658593678434,0.3417654020622107,4.767312039370505,-29.64810380382157,0
0.349,-0.405,-0.001871240234375,0.07754280645789,0.0775634886747019,0.0131943564064884,0.4730966522160464,4.499539744320828,-41.45031046781037,0
0.374,-0.369,-0.001818896484375,0.0769836731158976,0.0770032787070825,-0.01310657824474,0.4468660189388966,4.856936045836198,-42.33516275861184,0
0.347,-0.386,-0.00182568359375,0.0763170184401897,0.0763369899534704,0.0152985551642915,0.4468173019889301,4.545633777432228,-41.81282573541255,0
0.449,-0.403,-0.001418310546875,0.0938353820602346,0.0938438095758219,0.1055747054759378,0.1963247601926543,4.784545747124924,-66.16591111346551,0
0.439,-0.449,-0.001833544921875,0.0954685422965229,0.0954838176018749,0.1077806908487784,0.1180710993750815,4.59763770475155,-52.07607212820961,0
0.481,-0.359,-0.00186904296875,0.0951781783176927,0.0951942047663288,0.1362683804038054,0.0792815480595297,5.052828595823666,-50.932057934437935,0
0.398,-0.369,-0.001331396484375,0.0928924205603001,0.0928996936279763,0.1233703007853629,0.079800480106758,4.284190662606705,-69.7761295889154,0
0.469,-0.532,-0.00207705078125,0.0931511046523726,0.093171984791567,0.0615631289338165,0.1832577235568799,5.033701933571441,-44.857827084754646,0
0.479,-0.376,-0.001468212890625,0.0952381553322767,0.095247146908139,0.1397715662559031,0.1774183485049274,5.029022028995479,-64.87284474637293,0
0.469,-0.547,-0.0010529296875,0.095052661091092,0.0950561722294047,0.1109960394110324,0.2858801582340509,4.933924741553177,-90.27779666380115,0
0.474,-0.415,-0.0024300292968749,0.0937677639747133,0.0937969577710779,0.107299676609374,0.1274551650780049,5.053468803933392,-38.59910573576217,0
0.559,-0.457,-0.001651953125,0.0959869545318456,0.0959988255746847,0.1105148536620354,0.3715602017746904,5.8229879027542015,-58.11231815350982,0
0.405,-0.374,-0.0011328613281249,0.0939879753632493,0.0939925079606581,0.1345083744515363,0.0566979698522609,4.308854064938012,-82.96912042732117,0
0.454,-0.474,-0.001769287109375,0.0949517056284798,0.0949658704626792,0.0728724270753009,0.2579456981063193,4.780664861892863,-53.67465232718838,0
0.452,-0.435,-0.001354931640625,0.0952022591130932,0.0952095763446848,0.1112991251215122,0.2209739295601118,4.747421607713447,-70.26891504339422,0
0.439,-0.371,-0.001291552734375,0.0942093091073678,0.0942158620515111,0.1172017388864335,0.1872272170104083,4.659512638752732,-72.94774695909221,0
0.503,-0.503,0.001530517578125,0.0954341684009938,0.0954441107218479,0.1593761616208462,0.2372285446824502,5.270099917069676,62.360675947789005,0
0.459,-0.442,-0.001719873046875,0.09418429526346,0.094197697948666,0.1019066595936211,0.2321104554573265,4.872730544329613,-54.7701460406178,0
0.42,-0.425,-0.001212841796875,0.0944630261265019,0.0944685057782982,0.079841394544029,0.1933758867239037,4.445926147976443,-77.89021290468814,0
0.447,-0.442,-0.00163671875,0.0941208627920004,0.0941327950581982,0.123739351746808,0.1275625171982293,4.748610723007207,-57.51311583508054,0
0.432,-0.413,-0.002514697265625,0.0937775688132623,0.0938089905551934,0.1552543470229337,0.1613381049551403,4.605102319546104,-37.30428781131167,0
0.378,-0.505,-0.001442041015625,0.0936088009106221,0.0936176224250307,0.0841235661180698,0.2370407422182525,4.037701345200293,-64.92022169317815,0
0.415,-0.398,-0.0011681640625,0.0937339358355939,0.0937389264293388,0.1225198604839691,0.1753579722190017,4.427189597832981,-80.24465863872511,0
0.444,-0.43,-0.0005888183593749,0.0939665847559961,0.0939661354911471,0.0934260260354281,0.16141582653337,4.7251065256571145,-159.58424868220368,0
0.913,-0.605,-0.00204482421875,0.1010827526317021,0.1011009657393909,0.1271330706559107,2.030163185103845,9.030576447246313,-49.44237495445642,0
0.762,-0.498,-0.00190771484375,0.0994358140035613,0.0994516852311337,0.1246891850540553,1.3497120254639334,7.662011943076185,-52.13131593380133,0
0.85,-0.723,-0.001864404296875,0.1000739436687331,0.1000888665195678,0.0450228872145906,1.6616013838834212,8.492453052546265,-53.68409989578478,0
0.64,-0.605,-0.001106201171875,0.0977181415993934,0.0977220171044024,-0.0018781126996475,1.1128392814814374,6.549189414666385,-88.34018584410339,0
0.808,-0.784,-0.001783984375,0.1000243654936661,0.1000378317109957,0.0507491591515081,2.046950863717683,8.076944353754802,-56.07550890741165,0
